wkr_nummer,wkr_name,land,land_nr,wbr,waehlende,gueltige,cdu,spd,afd,fdp,linke,gruene,csu,cdu_perc,spd_perc,afd_perc,fdp_perc,linke_perc,gruene_perc,csu_perc,wbt,auslaender,bevdichte,wohnflaeche,abitur,einkommen,bip,sozbesch,sgbII,alq,alter18_24,alter_25_34,==...,ost,alter18_34
194,Gera – Greiz – Altenburger Land,TH,16,229588,168147,166043,27303,36326,46659,16212,18666,7331,NA,16.44333094439392,21.877465475810485,28.100552266581545,9.763735899736815,11.241666315352047,4.41512138421975,NA,72.32215969475757,4.3,178.6,46.3,30.3,19952,24981,333.2,75,7.2,4.6,8.7,TRUE,ost,13.299999999999999
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,TH,16,219437,166531,164623,27008,35019,46381,15428,18489,7383,NA,16.405970004191396,21.272240209448253,28.17407045188097,9.37171598136348,11.231115943701669,4.484792525953239,NA,75.0206209527108,3.3,89.6,45.3,31.8,19948,25762,342.8,44.1,5.8,4.8,8.8,TRUE,ost,13.600000000000001
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,TH,16,230071,171108,169125,27923,42446,44572,13990,18486,7221,NA,16.51027346637103,25.097413155949745,26.354471544715448,8.271988174427198,10.930376940133039,4.269623059866962,NA,73.50991650403571,4.7,101.2,45.8,27,21062,28039,347.4,35,5.4,5.1,9.5,TRUE,ost,14.6
197,Neuwied,RP,7,238118,181837,180293,48338,54018,17504,20751,5417,18930,NA,26.81080241606718,29.961229775975774,9.708640934478877,11.509598265046343,3.004553698701558,10.49957569068128,NA,75.71582156745815,9.1,245.5,51.1,30,22885,30631,325.2,53.2,5.7,7.3,11.3,TRUE,west,18.6
198,Ahrweiler,RP,7,195109,148466,147087,41942,42303,11322,17484,3851,17685,NA,28.515096507509163,28.760529482551146,7.697485161842992,11.886842480980645,2.618178357026794,12.023496298109283,NA,75.38709131818625,8.5,187.1,52.8,38.9,23360,28910,295.8,42.3,4.3,7.1,11.2,TRUE,west,18.299999999999997
199,Koblenz,RP,7,193035,147127,145903,37958,42817,10426,16371,4804,21007,NA,26.015914683042844,29.346209467934177,7.145843471347401,11.220468393384646,3.2925985072274044,14.397921907020416,NA,75.58370243738182,11.9,408.6,49.1,42.7,22354,46712,457.8,61.2,5.3,8.3,13.6,TRUE,west,21.9
200,Mosel/Rhein-Hunsrück,RP,7,171102,134717,133262,38664,38015,11061,16664,3725,12230,NA,29.0135222343954,28.526511683750805,8.300190601972055,12.504690009154897,2.795245456319131,9.177409914304151,NA,77.88453670909749,8.5,95.7,57.6,28.8,23413,33131,354.3,35.3,4.6,6.8,10.8,TRUE,west,17.6
201,Kreuznach,RP,7,182380,138109,136658,33433,44259,13510,15704,4454,12903,NA,24.46472215311215,32.38668793630816,9.885992770273237,11.491460434076307,3.2592310731900076,9.44181826164586,NA,74.9303651716197,10.3,145.8,53.3,35.2,22375,29815,336.1,65.7,6.7,7,11.1,TRUE,west,18.1
202,Bitburg,RP,7,163493,124449,123054,37086,34343,8794,13997,3265,11411,NA,30.137988200302306,27.90888552992995,7.146456027435109,11.374681034342645,2.653306678368846,9.273164626911761,NA,75.2656077018588,11.3,70.2,58.6,32,22568,30506,319.9,30.3,3.7,7.1,11.7,TRUE,west,18.799999999999997
203,Trier,RP,7,190530,147171,145631,34578,44123,9001,16206,5712,22708,NA,23.74357108033317,30.297807472310158,6.180689550988458,11.12812519312509,3.922241830379521,15.592833943322507,NA,76.43468220227786,12.6,214,51.1,40.1,22735,30496,330.9,45.9,4.7,8.9,14.1,TRUE,west,23
204,Montabaur,RP,7,210816,164165,162711,43125,49346,14565,19021,4690,16832,NA,26.504047052749968,30.327390280927535,8.951453804598337,11.69005168673292,2.8824111461425472,10.34472162300029,NA,77.18152322404372,8.6,180.9,54.3,28.7,25189,32019,324.1,37.2,3.7,7,11.4,TRUE,west,18.4
205,Mainz,RP,7,249630,202670,201288,42659,53889,10833,23178,9418,46183,NA,21.193016970708637,26.77208775485871,5.381840944318588,11.514844402050793,4.678868089503597,22.943742299590635,NA,80.63453911789449,15.5,756.6,45.2,49.2,24026,48826,433.2,62.6,5.6,9.6,15.9,TRUE,west,25.5
206,Worms,RP,7,212943,166636,164822,37548,49656,17033,20095,5068,20799,NA,22.780939437696425,30.127046146752257,10.334178689738021,12.191940396306318,3.0748322432684954,12.619067842885052,NA,77.40193385084272,11.9,310.6,49.8,37.9,23554,31857,293.7,59.5,6.1,7.4,11.4,TRUE,west,18.8
207,Ludwigshafen/Frankenthal,RP,7,210969,154911,153258,33726,45895,18075,18421,4651,18128,NA,22.006029049054536,29.94623445431886,11.793837842070234,12.019600934372104,3.034751856346814,11.828420049850578,NA,72.64479615488531,20.3,1030.3,44.7,32.6,22368,54556,434.9,89.3,8.1,7.5,12.8,TRUE,west,20.3
208,Neustadt – Speyer,RP,7,219416,173828,172322,41322,47121,17499,21823,4880,23949,NA,23.97952670001509,27.34473833869152,10.154826429591115,12.664082357447104,2.8319077076635604,13.897819198941516,NA,78.53666095453386,10.6,332.4,51.8,45.6,26394,29069,305.4,49.3,5.4,6.7,11,TRUE,west,17.7
209,Kaiserslautern,RP,7,224701,169206,167464,33226,54460,20702,17242,6383,17611,NA,19.840682176467777,32.52042229971815,12.362059905412506,10.295944202933168,3.8115654707877513,10.51629006831319,NA,74.52748318877086,10.6,175.8,56.1,37.3,20843,31327,335.6,69,7,8.1,12.7,TRUE,west,20.799999999999997
210,Pirmasens,RP,7,174093,132470,130723,33507,38261,17178,14374,4207,9877,NA,25.632061687690765,29.26875913190487,13.14076329337607,10.995769680928376,3.218255394995525,7.5556711519778466,NA,75.08802766337533,8.4,160.4,59.4,34.9,21942,26248,287.7,56.4,6.5,7,11.3,TRUE,west,18.3
211,Südpfalz,RP,7,217000,171259,169676,39421,47028,17702,21120,5598,22882,NA,23.233103090596195,27.71635352082793,10.432824913364295,12.447252410476437,3.299229119026851,13.485702161767133,NA,78.19170506912442,10.3,241.5,51.7,40.6,23448,34495,351.6,47,5,7.9,11.8,TRUE,west,19.700000000000003
212,Altötting,BY,9,168656,129441,128760,NA,18309,13940,13298,2769,12248,44060,NA,14.219478098788443,10.826343584964276,10.327741534638086,2.1505125815470643,9.512270891581236,34.218701460080766,76.34474907504031,12.2,165.4,48.1,22.2,23613,41722,398.6,31.1,4.1,7.6,12.1,TRUE,west,19.7
213,Erding – Ebersberg,BY,9,200569,168337,167603,NA,25693,12228,20228,3648,24620,55992,NA,15.32967786972787,7.295812127467885,12.06899637834645,2.176572018400625,14.68947453207878,33.40751657189907,83.56376109967142,13.1,198.5,45.3,31.4,26354,32007,311.9,17.7,2.9,7.9,11.9,TRUE,west,19.8
214,Freising,BY,9,237250,194002,193119,NA,29085,17515,21738,4456,26055,62930,NA,15.060662078821865,9.06953743546725,11.256272039519674,2.307385601623869,13.491681294952853,32.58612565309472,81.39894625922022,14.9,187.4,47.1,22,25049,43404,410.7,15.3,3.2,8.3,13.7,TRUE,west,22
215,Fürstenfeldbruck,BY,9,231905,192779,191852,NA,31141,13209,23046,4192,30537,63944,NA,16.23178283260013,6.884994683401789,12.012384546421199,2.1850176177470133,15.916956820882763,33.329858432541755,82.72870356395939,15.2,336.4,44.2,32.7,26114,27786,260.3,24.3,3.5,7.5,12,TRUE,west,19.5
216,Ingolstadt,BY,9,238384,187395,186539,NA,31592,18694,19797,4450,20833,64577,NA,16.935868638729705,10.021496845163746,10.612794107398454,2.3855601241563424,11.16817394753912,34.61849800845936,78.2514766091684,13.7,183.2,47.4,27.5,24514,73589,500.1,27.9,3.2,7.9,14.2,TRUE,west,22.1
217,München-Nord,BY,9,223683,175551,174902,NA,33241,8250,25953,7044,44861,39986,NA,19.005500222982015,4.716927193514082,14.83859532766921,4.027398200134933,25.64922070645276,22.861945546648982,78.1919055091357,28.7,4247,38.3,35.7,32766,79690,605,51.8,5.3,8.1,18.6,TRUE,west,26.700000000000003
218,München-Ost,BY,9,242591,193958,193271,NA,36106,8978,27112,7080,47647,49286,NA,18.681540427689615,4.645290809278164,14.027971087229849,3.6632500478602585,24.65294845062115,25.500980488536822,79.66948485310667,25.9,4909,38.3,35.7,32766,79690,605,51.8,5.3,8.1,18.6,TRUE,west,26.700000000000003
219,München-Süd,BY,9,214606,172970,172371,NA,33117,7910,21495,7669,45562,40585,NA,19.212628574412168,4.58893897465351,12.470195102424423,4.44912427264447,26.43252055160091,23.54514390471715,80.31974874887003,25.8,6478,38.3,35.7,32766,79690,605,51.8,5.3,8.1,18.6,TRUE,west,26.700000000000003
220,München-West/Mitte,BY,9,242252,198272,197625,NA,37513,8403,26401,8219,54303,45540,NA,18.981910183428212,4.251992409867173,13.359139784946237,4.158886780518659,27.477798861480075,23.043643263757115,81.57827386358008,24.7,4189.1,38.3,35.7,32766,79690,605,51.8,5.3,8.1,18.6,TRUE,west,26.700000000000003
221,München-Land,BY,9,234912,199333,198610,NA,34189,10489,28696,4449,36817,64669,NA,17.214138260913348,5.2812043703741,14.448416494637733,2.2400684759075573,18.53733447459846,32.56079754292331,84.54655360305135,18,527.6,44.7,50.2,31122,110283,684.7,21.2,3.5,7.9,11.7,TRUE,west,19.6
222,Rosenheim,BY,9,237390,191410,190561,NA,27406,16570,23049,4607,25962,59126,NA,14.381746527358693,8.69537838277507,12.095339550065333,2.4175985642392726,13.623983921159105,31.02733507905605,80.27338978052993,12.5,220,46.2,27.7,25321,36635,372.2,24.5,3.7,7.7,12.3,TRUE,west,20
223,Bad Tölz-Wolfratshausen – Miesbach,BY,9,166662,136106,135356,NA,18276,10835,17048,2908,18138,46304,NA,13.502172050001477,8.004816927214161,12.594934838499954,2.148408640917285,13.400218682585182,34.20904873075445,81.21587404447325,12.9,115.3,47,29.2,27813,32875,327.9,18.8,3.6,7.3,11.4,TRUE,west,18.7
224,Starnberg – Landsberg am Lech,BY,9,214828,180978,180264,NA,28584,11066,23893,4446,32663,57906,NA,15.85674344295034,6.138774242222518,13.2544490303111,2.466382638796432,18.119535791949584,32.122886433231265,83.91084960992049,13,226.4,48.5,35.1,30346,39032,344.4,20.5,3.7,7.5,10.6,TRUE,west,18.1
225,Traunstein,BY,9,208815,163876,163059,NA,25190,14027,15747,3943,19985,51421,NA,15.448395979369431,8.602407717451966,9.657240630691959,2.418143126107728,12.256299866919337,31.535211181228878,78.08778105021192,12.6,119.3,47.6,26,23729,38335,373.6,23.9,4.6,7.5,12.2,TRUE,west,19.7
226,Weilheim,BY,9,168473,138039,137160,NA,19927,10873,14311,3124,18397,48178,NA,14.528288130650335,7.927238261883931,10.433799941673957,2.277631962671333,13.412802566345874,35.12540099154272,81.41363898072687,11.1,113.2,46.5,27.5,25229,37034,354.5,25.6,4,7.4,11.4,TRUE,west,18.8
227,Deggendorf,BY,9,166186,127193,126644,NA,19873,17911,10778,2301,8516,42154,NA,15.692018571744418,14.142793973658444,8.510470294684312,1.8169040775717762,6.724361201478159,33.28543002432014,76.20617861913759,7.6,109,52.3,21.6,22603,36219,385.5,21.1,4.6,8,12,TRUE,west,20
228,Landshut,BY,9,246854,195589,194766,NA,30931,19973,20204,4186,20087,64383,NA,15.881108612386146,10.254869946499902,10.373473809597158,2.149245761580563,10.313401723093353,33.05659098610641,78.89926839346334,13.4,149,47.8,22.3,24351,39072,366.5,24.3,4.2,8,12.8,TRUE,west,20.8
229,Passau,BY,9,177563,136625,136052,NA,23892,16023,12782,3093,12645,44215,NA,17.560932584600007,11.77711463264046,9.394937229882693,2.2733954664393026,9.294240437479786,32.498603475141856,76.62181873475893,10.5,154.1,51.2,25.5,21866,39458,417.7,33.9,4.9,8.4,12.7,TRUE,west,21.1
230,Rottal-Inn,BY,9,173632,133885,133246,NA,19108,16384,12904,2487,9495,45687,NA,14.340392957387088,12.29605391531453,9.68434324482536,1.8664725395133812,7.125917475946745,34.28770844903411,76.74046258754147,11.2,99.1,51.6,20.5,24283,45047,409.8,24.8,4.3,7.9,12.5,TRUE,west,20.4
231,Straubing,BY,9,173772,132955,132243,NA,19938,17402,11603,2468,8964,46742,NA,15.07679045393707,13.159108610663703,8.773999379929373,1.8662613522076783,6.778430616365327,35.34553813812452,76.10144327049237,9.3,100.9,50.8,27.9,22553,35108,383.6,29.2,5.3,7.6,12.3,TRUE,west,19.9
232,Amberg,BY,9,216071,173297,172358,NA,31547,17958,15067,4095,16191,60430,NA,18.303182909989673,10.41901159215122,8.741688810499078,2.3758688311537615,9.393819840100257,35.0607456572947,79.76914995533876,8.5,105.6,50.9,24.4,23575,38453,387.7,22.1,3.5,7.8,12.1,TRUE,west,19.9
233,Regensburg,BY,9,248192,198937,198175,NA,34563,17343,18773,6798,32094,61187,NA,17.440645893780747,8.751356124637317,9.472940582818216,3.4303015011984357,16.194777343257222,30.875236533366973,79.8474568076328,12.5,244.8,47.4,30.2,23694,53270,510.8,31.2,4,8.6,15.4,TRUE,west,24
234,Schwandorf,BY,9,222424,174957,174145,NA,31209,23508,12650,3394,11179,59430,NA,17.92127250279939,13.499095581268483,7.264061557897154,1.9489505871543829,6.41936317436619,34.12673346923541,78.29415890371543,7.6,92.2,50.6,24.8,22562,36908,394.8,21.5,4.3,7.7,12.1,TRUE,west,19.8
235,Weiden,BY,9,165807,132247,131356,NA,29461,14898,9601,2830,9170,46451,NA,22.428362617619293,11.341697372027163,7.309144614635038,2.1544505009287738,6.981028654952952,35.36267852248851,79.22222825333068,6.5,81,51.4,25.7,22271,38488,413.1,31.6,4.4,7.6,11.8,TRUE,west,19.4
236,Bamberg,BY,9,182586,148660,148068,NA,25698,14284,14336,4676,21898,49463,NA,17.35553934678661,9.646918983169893,9.68203798254856,3.158008482589081,14.789150930653483,33.40559742820866,81.09493608491341,9.4,240.4,47,35.5,23361,39940,421.9,28.8,3.9,8.1,14.1,TRUE,west,22.2
237,Bayreuth,BY,9,162430,129136,128530,NA,26584,11636,12020,3294,15647,43768,NA,20.683109001789465,9.053139344900023,9.351902279623433,2.562825799424259,12.17381156150315,34.0527503306621,79.129471156806,7.3,125.4,49.2,33.2,22384,38185,386.8,31.2,4.3,9.3,12.5,TRUE,west,21.8
238,Coburg,BY,9,156571,123864,123160,NA,31087,12836,10683,3118,11459,39343,NA,25.24114972393634,10.422215004871711,8.674082494316336,2.531666125365378,9.304157193894122,31.94462487820721,78.66079925401256,6.5,151.1,50.7,29.7,24869,43985,448.7,34.3,4.6,7.1,11.4,TRUE,west,18.5
239,Hof,BY,9,162872,125334,124559,NA,30426,14560,10552,3004,9628,41308,NA,24.426978379723664,11.689239637440892,8.471487407573921,2.411708507614865,7.729670276736325,33.163400476882444,76.47661967680142,9.6,136.6,50.9,26.6,21897,36860,423,52.6,5.3,7.1,10.6,TRUE,west,17.7
240,Kulmbach,BY,9,168923,137178,136507,NA,27009,15774,11399,2982,11966,49389,NA,19.785798530478292,11.555451368794275,8.35048752078648,2.1845033588021128,8.76585083548829,36.18056216897302,80.81019162577033,5.1,121,50.6,21.2,23067,32554,358.7,24.6,3.9,7,11.1,TRUE,west,18.1
241,Ansbach,BY,9,243174,192508,191486,NA,37642,19142,16213,4904,22325,63299,NA,19.657833993085656,9.996553272824123,8.466937530681093,2.5610227379547332,11.65881578809939,33.05672477361269,78.74443813894577,9.8,105.6,48.8,24.7,23188,35045,380.2,22.6,3.7,7.8,12,TRUE,west,19.8
242,Erlangen,BY,9,187299,155377,154708,NA,30146,10872,16062,5817,31222,44664,NA,19.485740879592523,7.027432324120278,10.382139255888513,3.7599865553171137,20.181244667373374,28.86987098275461,82.59947997586747,13.2,356.8,47.9,40.5,25526,64405,572.3,27.8,3.6,8.5,14.2,TRUE,west,22.7
243,Fürth,BY,9,250730,197939,196943,NA,42329,17692,18765,6946,29778,58976,NA,21.493020823283896,8.983309891694551,9.528137582955475,3.5269088010236462,15.120110895030543,29.945720335325447,78.54784030630559,12.4,218.1,46.4,29.9,24207,30537,313.4,38.2,4.4,7.3,12.3,TRUE,west,19.6
244,Nürnberg-Nord,BY,9,188283,145212,144486,NA,30232,8887,14692,8627,34055,34349,NA,20.923826529906012,6.150768932630151,10.168459227883671,5.9708207023517845,23.56975762357599,23.77323754550614,76.73873902582814,24,3385.6,40.7,28.8,22748,60711,596.3,79,6.7,8.1,15.8,TRUE,west,23.9
245,Nürnberg-Süd,BY,9,177316,129560,128713,NA,29195,12901,11495,4893,17687,38663,NA,22.682246548522684,10.023074592310023,8.93072183850893,3.8014808139038014,13.74142472011374,30.03814688493004,72.58961402242325,21,1901.3,41.5,29.8,23272,56969,566.9,73,6.4,8,15.2,TRUE,west,23.2
246,Roth,BY,9,229279,189675,188730,NA,38786,16043,16974,4950,26197,60980,NA,20.551051767074657,8.500503364594925,8.99380066762041,2.6227944682880304,13.880676098129602,32.31070841943517,82.31455999023024,8.4,175.6,49.7,27.1,25307,31080,321.8,20.1,3.1,7.2,11,TRUE,west,18.2
247,Aschaffenburg,BY,9,182652,146772,145720,NA,30232,13716,16199,4068,20642,45739,NA,20.746637386769144,9.412572055997805,11.116524842163052,2.791655229206698,14.165522920669776,31.38827889102388,79.78012833147187,11.8,322.1,48.4,27.7,24564,45382,409,42,4.6,7.1,12.1,TRUE,west,19.2
248,Bad Kissingen,BY,9,214061,174164,173105,NA,30540,18434,15211,4820,15874,65063,NA,17.642471332428293,10.649028046561336,8.787152306403629,2.784437191300078,9.170156841223536,37.585858294098955,80.86713600328879,5.3,85.8,51.6,25.7,22733,34936,361.6,23.2,3.6,7.1,11,TRUE,west,18.1
249,Main-Spessart,BY,9,194408,158133,157067,NA,32771,13918,14151,3685,17806,54097,NA,20.864344515397885,8.861186627362844,9.009530964492859,2.3461325421635353,11.336563377412187,34.441989724130465,80.79245710053084,9.4,125.1,50.7,26.2,23464,35706,358.3,24,3.4,7.2,11.1,TRUE,west,18.3
250,Schweinfurt,BY,9,196710,157357,156352,NA,30482,15687,15039,4928,17085,54441,NA,19.495753172329103,10.033130372492836,9.6186809250921,3.151862464183381,10.927266680311092,34.8195098239869,79.48350363479233,10.1,166.6,48,29.7,22848,44202,436.3,33.6,3.7,7.5,12.3,TRUE,west,19.8
251,Würzburg,BY,9,224907,185659,184702,NA,37079,12220,19230,7027,35634,55957,NA,20.07503979383006,6.616062630615803,10.411365334430595,3.8045067189310346,19.292698508949552,30.29582787408907,82.12372224964096,9,274.9,48.4,32.5,23974,44469,455.7,32.8,3.4,9.6,15.1,TRUE,west,24.7
252,Augsburg-Stadt,BY,9,207543,153315,152460,NA,29200,13888,16969,6952,28971,38653,NA,19.15256460711006,9.10927456382002,11.130132493768857,4.559884559884559,19.002361275088546,25.352879443788535,73.45947586765152,21.6,1964.4,38.7,31.7,20487,47808,476.3,56.8,6.4,9,16.5,TRUE,west,25.5
253,Augsburg-Land,BY,9,249372,204737,203667,NA,33405,19481,22301,4176,26207,67883,NA,16.40177348318579,9.565123461336396,10.949736579809198,2.050405809483127,12.867573048161951,33.330387347974884,81.67195996342814,9.6,217.1,48.5,20,25308,29535,298.1,22.1,3.3,7.4,11.4,TRUE,west,18.8
254,Donau-Ries,BY,9,195774,157033,156215,NA,25784,17135,15593,2855,14911,54929,NA,16.50545722241782,10.96885702397337,9.981755913324584,1.8276093845021286,9.545178119898857,35.162436385750404,79.79353744623903,9.6,109.2,48.6,23.4,24897,42080,408.4,18.8,2.8,7.9,12.1,TRUE,west,20
255,Neu-Ulm,BY,9,241919,188813,187714,NA,31900,22293,22019,4410,20764,59028,NA,16.993937585901957,11.876045473432988,11.73007873680173,2.3493186443206153,11.061508465005273,31.44570996302886,77.59374005348899,14,200.4,46.5,26.1,24545,41309,391.5,20.3,3.2,8,12.7,TRUE,west,20.7
256,Oberallgäu,BY,9,228803,181755,180741,NA,29910,14350,20953,5043,27393,55017,NA,16.548541836108022,7.93953779164661,11.592831731593828,2.790180423921523,15.155941374674258,30.439689943067705,78.99415654515019,11.9,160.4,46.2,23.6,24629,38673,405.4,23.3,3.8,7.6,12.3,TRUE,west,19.9
257,Ostallgäu,BY,9,250575,198667,197643,NA,30914,19779,21561,5007,23712,62635,NA,15.641333110709715,10.007437652737512,10.909063311121567,2.533355595695269,11.997389232100302,31.690978177825674,78.87578569290632,11.8,145.9,46.7,24.8,24550,40550,412.6,21.4,3.5,7.6,12.2,TRUE,west,19.799999999999997
258,Stuttgart I,BW,8,191811,157514,156838,31536,31003,6591,26036,8127,44559,NA,20.107371937923208,19.767530827988114,4.202425432611995,16.60056873971869,5.181779925783292,28.41084431069001,NA,81.7669476724484,22.1,2732.3,37.1,42.2,25788,90518,665.3,63.4,5.6,8.4,18.5,TRUE,west,26.9
259,Stuttgart II,BW,8,178958,133588,132696,28403,30198,9541,20273,6739,28221,NA,21.40456381503587,22.757279797431725,7.190118767709652,15.277777777777779,5.078525351178634,21.267408211249776,NA,74.14924172152125,27.7,3474.2,37.1,42.2,25788,90518,665.3,63.4,5.6,8.4,18.5,TRUE,west,26.9
260,Böblingen,BW,8,245553,195335,194114,50675,39955,16810,35082,5141,32594,NA,26.105793502787023,20.583265503776133,8.659859670090771,18.07288500571829,2.6484436980331147,16.791163955201583,NA,79.05177293700342,18.7,657,43.6,30,25597,66535,462.1,34.5,4.1,7.3,13.1,TRUE,west,20.4
261,Esslingen,BW,8,166628,131888,131121,33175,29852,9733,20901,4063,23902,NA,25.30105780157259,22.766757422533384,7.422914712364914,15.940238405747365,3.098664592246856,18.22896408660703,NA,78.69085627865665,19.2,1205.7,41.6,34.1,25582,42726,411.1,40.6,4.4,8,13.3,TRUE,west,21.3
262,Nürtingen,BW,8,205967,165777,164570,42826,33995,14327,28807,4357,27702,NA,26.02296894938324,20.65686334082761,8.705717931579267,17.50440542018594,2.6475056207085133,16.83295861943246,NA,79.90114921322348,16.4,642.2,43.9,33.9,25583,43937,413.7,40.3,4.4,7.7,12.7,TRUE,west,20.4
263,Göppingen,BW,8,177107,135606,134423,35079,31422,15412,21723,3338,16916,NA,26.09598059855828,23.375464020294146,11.465299837081453,16.1601809214197,2.48320599897339,12.584155985210865,NA,75.89931510329913,17,401.9,43.8,26.8,24173,34635,339,47.3,4.9,7.6,12.1,TRUE,west,19.7
264,Waiblingen,BW,8,221775,175841,174749,44987,37753,15474,30999,5001,27098,NA,25.743781080292305,21.60412935124092,8.854986294628295,17.739157305621205,2.861818951753658,15.506812628398444,NA,78.79562619772291,16.5,628.1,42.7,26.8,25631,35442,356.2,45,4.6,7.6,12.1,TRUE,west,19.7
265,Ludwigsburg,BW,8,215312,171843,170842,42297,37284,14313,27611,5275,31433,NA,24.757963498437153,21.823673335596634,8.377916437410004,16.161716673885813,3.0876482363821545,18.398871471886306,NA,79.34625102177306,19.1,914.1,41.6,31.5,26189,47422,381,34.1,3.7,7.4,13.6,TRUE,west,21
266,Neckar-Zaber,BW,8,230738,186673,185436,46315,41369,18702,30783,4851,29048,NA,24.976272137017624,22.309044629953192,10.085420306736555,16.60033650423866,2.6159968938070275,15.664703725274487,NA,80.36647626312094,15.7,516.3,45.1,29.3,25798,49811,393,34,3.8,7.4,12.4,TRUE,west,19.8
267,Heilbronn,BW,8,240951,182804,181055,43325,40961,23828,29386,5137,23476,NA,23.92919278672227,22.623512192427718,13.160641793930022,16.2304272182486,2.8372593963160364,12.966225732512221,NA,75.14183381683412,19,400.1,43.8,26,29132,55652,472.1,44.8,4.8,8.1,13.5,TRUE,west,21.6
268,Schwäbisch Hall – Hohenlohe,BW,8,225874,172687,171230,41947,37272,21787,27850,4980,22734,NA,24.497459557320564,21.76721368918998,12.723821760205572,16.26467324651054,2.908368860596858,13.276879051568066,NA,75.80775122413381,11.7,136.9,46.7,22.4,24003,45338,466.3,25.8,3.6,7.9,12.8,TRUE,west,20.700000000000003
269,Backnang – Schwäbisch Gmünd,BW,8,177062,136436,135424,34991,29341,15979,21397,3927,18579,NA,25.83810845935728,21.66602670132325,11.799237948960302,15.8000059073724,2.8997814272211717,13.719133979206049,NA,76.48394347742598,13.5,293.5,45.2,28.6,25038,40920,385.1,37.8,4.2,8.1,12,TRUE,west,20.1
270,Aalen – Heidenheim,BW,8,220686,168655,167245,45852,39468,17937,24562,4538,21226,NA,27.41606625011211,23.598911776136806,10.724984304463511,14.686238751532182,2.7133845555920955,12.691560285808245,NA,75.78414579991481,12.7,185.7,45.8,29.9,23924,41390,402.3,38,4.4,8,12.3,TRUE,west,20.3
271,Karlsruhe-Stadt,BW,8,205608,159591,158468,27998,33828,10774,20615,8910,44011,NA,17.667920337228967,21.346896534316077,6.798848978973673,13.008935557967538,5.622586263472751,27.772799555746268,NA,77.07287654176879,18.8,1799.4,40.7,42.3,22814,65518,575.3,51,5.2,11,17.5,TRUE,west,28.5
272,Karlsruhe-Land,BW,8,209147,167946,166633,42831,38474,15869,24660,4483,26969,NA,25.703792166017536,23.089063990926167,9.5233237113897,14.798989395857964,2.6903434493767744,16.184669303199247,NA,79.67267041841384,13.3,399.6,48.5,26.3,24295,37869,356.6,30.6,3.8,7.2,11.5,TRUE,west,18.7
273,Rastatt,BW,8,204890,155331,153800,41495,36442,16333,21250,4280,21926,NA,26.979843953185956,23.69440832249675,10.61963589076723,13.81664499349805,2.7828348504551363,14.256176853055916,NA,75.06466884669823,15.5,326.2,48.3,26.7,25333,46304,433.7,37.2,4.5,7.1,11.6,TRUE,west,18.7
274,Heidelberg,BW,8,218431,177868,176804,36783,40275,10821,23240,8624,45314,NA,20.80439356575643,22.7794620031221,6.120336643967331,13.144498993235448,4.8777176986946,25.629510644555552,NA,80.94272333139527,16.6,1062.7,42.9,43.8,24496,45623,445.2,41.9,5,10.3,15.6,TRUE,west,25.9
275,Mannheim,BW,8,196863,142132,140967,25682,35651,12846,18515,7066,29814,NA,18.21844828931594,25.290316173288787,9.112771074081168,13.134279654103443,5.01252066086389,21.149630764647046,NA,71.60665031011413,23.9,2142.9,40.5,37.7,22054,67775,609.5,95,7.7,10,16.7,TRUE,west,26.7
276,Odenwald – Tauber,BW,8,209418,162058,160494,48866,35578,19208,20943,4084,17748,NA,30.44724413373709,22.16780689620796,11.968048649793763,13.049085947138211,2.5446434134609395,11.058357321769039,NA,76.63811133713435,10,113.6,50.5,27.5,23078,35869,369.4,31,4,7.5,11.5,TRUE,west,19
277,Rhein-Neckar,BW,8,196882,154085,152682,38871,35847,15701,21941,4320,24072,NA,25.45879671474044,23.478209612135025,10.283464979499875,14.370390746780892,2.8294101465791646,15.766102094549456,NA,77.55000457126604,12.7,374,49.4,34,25278,34291,325.3,42.7,4.7,7.3,11.7,TRUE,west,19
278,Bruchsal – Schwetzingen,BW,8,195755,152231,150776,38866,34434,17462,21978,4125,20858,NA,25.77731203905131,22.837852178065475,11.581418793441928,14.576590438796625,2.7358465538281957,13.833766647211757,NA,77.02280912364947,13.8,537.2,47.7,29.3,24708,36368,343.5,35.7,4.2,7.2,12.4,TRUE,west,19.6
279,Pforzheim,BW,8,217126,163982,162617,39324,34262,22028,26504,4342,21213,NA,24.18197359439665,21.069137913010323,13.545939231445667,16.298418984485018,2.670077544168199,13.044761617789039,NA,74.89522212908633,18.7,484.7,44.5,28.6,24661,34706,374.7,52.3,5.2,8,12.5,TRUE,west,20.5
280,Calw,BW,8,199092,152863,151588,42841,28571,19473,26770,3656,17301,NA,28.261471884318016,18.847797978731826,12.846003641449192,17.659709211810963,2.4118004063646197,11.413172546639576,NA,76.13967412050711,14.1,166.4,46.3,22.8,24611,33886,348.2,30.5,4.1,7.7,11.8,TRUE,west,19.5
281,Freiburg,BW,8,224392,180976,179873,31296,38183,8854,19145,12429,56861,NA,17.398942587269907,21.22775513834761,4.922361888665892,10.643620776881466,6.909875300906751,31.611748289070622,NA,80.16016613783023,15.5,708.4,40,43.5,22899,45746,491.3,56.9,5.3,10.5,16.7,TRUE,west,27.2
