wkr_nummer,wkr_name,land,land_nr,wbr,waehlende,gueltige,cdu,spd,afd,fdp,linke,gruene,csu,cdu_perc,spd_perc,afd_perc,fdp_perc,linke_perc,gruene_perc,csu_perc,wbt,auslaender,bevdichte,wohnflaeche,abitur,einkommen,bip,sozbesch,sgbII,alq,alter18_24,alter_25_34,==...,ost,alter18_34
144,Unna I,NW,5,194493,148083,146936,31995,53490,11428,15286,5154,20022,NA,21.77478630151903,36.40360429030326,7.777535797898405,10.40316872652039,3.50764958893668,13.62634071976915,NA,75.54822024443038,10.3,728.3,44.8,40.2,21494,30568,331.8,88.9,8,7.2,10.8,TRUE,west,18
145,Hamm – Unna II,NW,5,231226,168760,167428,40444,59227,15497,16764,5694,19149,NA,24.156055140119932,35.37460878706071,9.255918962180758,10.012662159256516,3.4008648493680864,11.437155075614593,NA,72.40881215780233,13.9,762.1,42,33.7,19796,30045,334.5,97.6,8.8,8,11.9,TRUE,west,19.9
146,Soest,NW,5,231811,179003,177829,51697,51061,14206,21005,5520,24089,NA,29.071186364428748,28.713539411457074,7.98857329232015,11.811909193663576,3.104105629565481,13.546159512790377,NA,76.71292561612692,9.7,227.1,48,38.5,22746,35976,369.8,58.7,6,7.5,11.4,TRUE,west,18.9
147,Hochsauerlandkreis,NW,5,200496,156518,155494,52017,44640,11532,18712,3989,15473,NA,33.452737726214515,28.70850322198927,7.4163633323472284,12.03390484520303,2.5653722973233695,9.950866271367383,NA,77.55466443220811,9.1,132.5,50.5,32.9,24345,36719,411.9,48.3,4.8,7.4,11.5,TRUE,west,18.9
148,Siegen-Wittgenstein,NW,5,207672,162162,160998,42161,50327,14709,18597,5726,17842,NA,26.187281829587945,31.259394526640083,9.1361383371222,11.551075168635636,3.5565659200735413,11.082125243791848,NA,77.52513579105512,10.9,244.5,47.8,36.7,23302,40775,421.3,63.3,6,8.5,12.8,TRUE,west,21.3
149,Olpe – Märkischer Kreis I,NW,5,203350,154830,153671,50364,42362,13100,19227,4150,15243,NA,32.77391310006442,27.56668467049736,8.524705377071797,12.511794678241179,2.700574604186867,9.919243058221786,NA,75.5697074010327,12,237.7,47.1,35.7,26336,39197,415.7,59.2,6,7.5,11.7,TRUE,west,19.2
150,Märkischer Kreis II,NW,5,195816,143689,142608,40368,42230,13082,17125,4804,14880,NA,28.306967351060248,29.612644451924158,9.173398406821496,12.008442724110848,3.3686749691461912,10.434197239986537,NA,72.82755239612698,13.1,438.2,45.5,35.2,24762,37313,390.9,79,7.5,7.4,11.3,TRUE,west,18.700000000000003
151,Nordsachsen,SN,14,161279,119206,117757,23000,24732,32066,12476,8868,5462,NA,19.53174758188473,21.002573095442308,27.230652954813728,10.59469925354756,7.530762502441468,4.6383654474893214,NA,73.01446561548622,4.1,97.5,45,30.3,20340,27465,375.1,62.1,7.4,4.6,9.2,TRUE,ost,13.799999999999999
152,Leipzig I,SN,14,224100,167696,166419,24953,34748,25891,17660,20884,25848,NA,14.99408120467014,20.879827423551397,15.557718770092357,10.611769088866055,12.549047885157345,15.531880374236115,NA,74.26104417670683,10.2,1726.1,39.5,38.9,18825,36761,462,98.4,8.3,8.8,17.9,TRUE,ost,26.7
153,Leipzig II,SN,14,231178,180880,179837,23561,37634,20213,17439,26472,38264,NA,13.101308407057502,20.92672809266169,11.239622547084306,9.69711460934068,14.719996441221772,21.277045324377074,NA,77.79157186237444,9.1,2344.1,39.5,38.9,18825,36761,462,98.4,8.3,8.8,17.9,TRUE,ost,26.7
154,Leipzig-Land,SN,14,212853,162283,160447,32711,34104,38458,18322,12362,9381,NA,20.387417651934907,21.255617119671914,23.96928580777453,11.419347198763456,7.7047249247415035,5.846790528959719,NA,75.3792523478645,2.5,156.3,45.5,32.7,21768,26107,305.7,53.8,6.1,4.4,8.6,TRUE,ost,13
155,Meißen,SN,14,197004,149341,147594,25912,26045,43940,17212,10725,8872,NA,17.556269225036246,17.6463812892123,29.77085789395233,11.66172066615174,7.26655555103866,6.011084461427972,NA,74.91929097886337,3.2,166.2,44.2,30.6,21310,27919,366.8,50.6,6.3,4.4,8.6,TRUE,ost,13
156,Bautzen I,SN,14,206895,159233,157088,29213,26674,50050,17187,12272,6247,NA,18.59658280708902,16.980291301690773,31.861122428193116,10.941001222244855,7.81218170706865,3.9767518842941536,NA,75.92643611493753,2.3,113.5,43.8,31.7,20632,26384,377.7,46.5,5.7,4.3,8.4,TRUE,ost,12.7
157,Görlitz,SN,14,204105,153057,150993,27630,25441,49123,15039,11327,7358,NA,18.298861536627527,16.849125456146975,32.53329624552131,9.960064373845146,7.501672262952587,4.873073586192738,NA,73.97809950760637,4.6,119.7,47.3,28.4,19486,26380,342.7,73.6,8.9,4.8,8.4,TRUE,ost,13.2
